source,scenario,region,technology,indicator,unit,2020,2030,2050
WEO2021,NZE_2050,European Union,Wind offshore,Fuel and O&M,$/MWh,15,10,5
WEO2021,NZE_2050,China,Nuclear,Fuel and O&M,$/MWh,25,25,25
WEO2021,NZE_2050,China,Coal,Fuel and O&M,$/MWh,75,135,195
WEO2021,NZE_2050,China,Gas CCGT,Fuel and O&M,$/MWh,75,100,120
WEO2021,NZE_2050,China,Solar PV,Fuel and O&M,$/MWh,10,5,5
WEO2021,NZE_2050,China,Wind onshore,Fuel and O&M,$/MWh,15,10,10
WEO2021,NZE_2050,China,Wind offshore,Fuel and O&M,$/MWh,25,15,10
WEO2021,NZE_2050,India,Nuclear,Fuel and O&M,$/MWh,30,30,30
WEO2021,NZE_2050,India,Coal,Fuel and O&M,$/MWh,35,50,75
WEO2021,NZE_2050,India,Gas CCGT,Fuel and O&M,$/MWh,45,45,50
WEO2021,NZE_2050,India,Solar PV,Fuel and O&M,$/MWh,5,5,5
WEO2021,NZE_2050,India,Wind onshore,Fuel and O&M,$/MWh,10,10,10
WEO2021,NZE_2050,India,Wind offshore,Fuel and O&M,$/MWh,25,15,10
WEO2021,NZE_2050,United States,Nuclear,LCOE,$/MWh,105,110,110
WEO2021,NZE_2050,United States,Coal,LCOE,$/MWh,220,,
WEO2021,NZE_2050,United States,Gas CCGT,LCOE,$/MWh,70,125,
WEO2021,NZE_2050,United States,Solar PV,LCOE,$/MWh,50,30,20
WEO2021,NZE_2050,United States,Wind onshore,LCOE,$/MWh,35,35,30
WEO2021,NZE_2050,United States,Wind offshore,LCOE,$/MWh,115,60,40
WEO2021,NZE_2050,European Union,Nuclear,LCOE,$/MWh,150,120,115
WEO2021,NZE_2050,European Union,Coal,LCOE,$/MWh,250,,
WEO2021,NZE_2050,European Union,Gas CCGT,LCOE,$/MWh,100,115,
WEO2021,NZE_2050,European Union,Solar PV,LCOE,$/MWh,55,35,25
WEO2021,NZE_2050,European Union,Wind onshore,LCOE,$/MWh,55,45,40
WEO2021,NZE_2050,European Union,Wind offshore,LCOE,$/MWh,75,40,25
WEO2021,NZE_2050,China,Nuclear,LCOE,$/MWh,65,65,60
WEO2021,NZE_2050,China,Coal,LCOE,$/MWh,90,,
WEO2021,NZE_2050,China,Gas CCGT,LCOE,$/MWh,90,115,
WEO2021,NZE_2050,China,Solar PV,LCOE,$/MWh,40,25,15
WEO2021,NZE_2050,China,Wind onshore,LCOE,$/MWh,45,40,40
WEO2021,NZE_2050,China,Wind offshore,LCOE,$/MWh,95,45,30
WEO2021,NZE_2050,India,Nuclear,LCOE,$/MWh,75,75,75
WEO2021,NZE_2050,India,Coal,LCOE,$/MWh,65,,
WEO2021,NZE_2050,India,Gas CCGT,LCOE,$/MWh,55,60,
WEO2021,NZE_2050,India,Solar PV,LCOE,$/MWh,35,20,15
WEO2021,NZE_2050,India,Wind onshore,LCOE,$/MWh,50,45,40
WEO2021,NZE_2050,India,Wind offshore,LCOE,$/MWh,130,70,45
